Months,january,february,march,april,may,june,july,august,september,october,november,december
School Supplies,Paper,pencils,backpack,binders,pen,laptop,eraser,highlighter,colored pencils,markers,pencil case,pencil sharpener
Flowers,carnation,buttercup,irises,lily,daisy,daffodil,snapdragons,rose,dahlia,sunflower,orchids,tulip
